FineTuningJobEvent(id='ftevent-LBQmAij6Fs0BFzrAaR2ePfsw', created_at=1743051207, level='info', message='The job has successfully completed', object='fine_tuning.job.event', data={}, type='message') 

FineTuningJobEvent(id='ftevent-5o0V92KIQMUMK5DdOBFmgUS3', created_at=1743051189, level='info', message='New fine-tuned model created', object='fine_tuning.job.event', data={}, type='message')       

FineTuningJobEvent(id='ftevent-rpLKodU8t7usQJrZ7vLcCcih', created_at=1743051189, level='info', message='Checkpoint created at step 110', object='fine_tuning.job.event', data={}, type='message')

FineTuningJobEvent(id='ftevent-DlgEiAEfGgx63G85BmL1R6Wm', created_at=1743051189, level='info', message='Checkpoint created at step 55', object='fine_tuning.job.event', data={}, type='message')

FineTuningJobEvent(id='ftevent-GNFEnu5cGtqZn7pBEsHnczUB', created_at=1743051052, level='info', message='Step 93/165: training loss=0.05', object='fine_tuning.job.event', data={'step': 93, 'train_loss': 0.049137506633996964, 'total_steps': 165, 'train_mean_token_accuracy': 0.9902597665786743}, type='metrics')

FineTuningJobEvent(id='ftevent-hPvbd3U1sIN3BoiEoNUas1q4', created_at=1743051052, level='info', message='Step 92/165: training loss=0.04', object='fine_tuning.job.event', data={'step': 92, 'train_loss': 0.0383344367146492, 'total_steps': 165, 'train_mean_token_accuracy': 0.9867256879806519}, type='metrics')

FineTuningJobEvent(id='ftevent-AajLqR75y8AJqZtsZ015E0yn', created_at=1743051050, level='info', message='Step 91/165: training loss=0.12', object='fine_tuning.job.event', data={'step': 91, 'train_loss': 0.11622592061758041, 'total_steps': 165, 'train_mean_token_accuracy': 0.9750000238418579}, type='metrics')

FineTuningJobEvent(id='ftevent-5nm77IzSshWDXne6aoXQM59O', created_at=1743051048, level='info', message='Step 90/165: training loss=0.07', object='fine_tuning.job.event', data={'step': 90, 'train_loss': 0.06976191699504852, 'total_steps': 165, 'train_mean_token_accuracy': 0.982332170009613}, type='metrics')

FineTuningJobEvent(id='ftevent-b6U5kBuVCVda0eYIxijEH12j', created_at=1743051046, level='info', message='Step 89/165: training loss=0.26', object='fine_tuning.job.event', data={'step': 89, 'train_loss': 0.2620503008365631, 'total_steps': 165, 'train_mean_token_accuracy': 0.9288026094436646}, type='metrics')

FineTuningJobEvent(id='ftevent-L0PJ0s3cI4u95SUUIvudrabj', created_at=1743051046, level='info', message='Step 88/165: training loss=0.00', object='fine_tuning.job.event', data={'step': 88, 'train_loss': 0.00017573112563695759, 'total_steps': 165, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-Hvb8fDqMakswccRKKOzcOYUd', created_at=1743051044, level='info', message='Step 87/165: training loss=0.00', object='fine_tuning.job.event', data={'step': 87, 'train_loss': 0.0013124217512086034, 'total_steps': 165, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-MI0b6G9ZWtDel8Q8yGMQVfd0', created_at=1743051042, level='info', message='Step 86/165: training loss=0.01', object='fine_tuning.job.event', data={'step': 86, 'train_loss': 0.012559833936393261, 'total_steps': 165, 'train_mean_token_accuracy': 0.9936034083366394}, type='metrics')

FineTuningJobEvent(id='ftevent-yIqMkIvJ8sHBaY0QJSdhA2ZU', created_at=1743051040, level='info', message='Step 85/165: training loss=0.06', object='fine_tuning.job.event', data={'step': 85, 'train_loss': 0.06268876791000366, 'total_steps': 165, 'train_mean_token_accuracy': 0.9818181991577148}, type='metrics')

FineTuningJobEvent(id='ftevent-TBgYNMixWrezUgDEHvTAlHUX', created_at=1743051038, level='info', message='Step 84/165: training loss=0.12', object='fine_tuning.job.event', data={'step': 84, 'train_loss': 0.11880050599575043, 'total_steps': 165, 'train_mean_token_accuracy': 0.953596293926239}, type='metrics')

