FineTuningJobEvent(id='ftevent-7HyoMsUBqp1h98MXevERPsq6', created_at=1738234368, level='info', message='Step 79/150: training loss=0.03', object='fine_tuning.job.event', data={'step': 79, 'train_loss': 0.02571249008178711, 'total_steps': 150, 'train_mean_token_accuracy': 0.9921875}, type='metrics')

FineTuningJobEvent(id='ftevent-Vj0ix3VczRcvlbjD3jTViT6b', created_at=1738234363, level='info', message='Step 78/150: training loss=0.03', object='fine_tuning.job.event', data={'step': 78, 'train_loss': 0.031907860189676285, 'total_steps': 150, 'train_mean_token_accuracy': 0.9907407164573669}, type='metrics')

FineTuningJobEvent(id='ftevent-FaU1QaN98wU3A5SymYTBI1AM', created_at=1738234363, level='info', message='Step 77/150: training loss=0.16', object='fine_tuning.job.event', data={'step': 77, 'train_loss': 0.15540269017219543, 'total_steps': 150, 'train_mean_token_accuracy': 0.957317054271698}, type='metrics')

FineTuningJobEvent(id='ftevent-hxMD8A6s2fht8sHTPWCkBWW3', created_at=1738234363, level='info', message='Step 76/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 76, 'train_loss': 0.0025821151211857796, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-uwWqr0PHNDT2X8FzT2HqN1L6', created_at=1738234363, level='info', message='Step 75/150: training loss=0.10', object='fine_tuning.job.event', data={'step': 75, 'train_loss': 0.0966806560754776, 'total_steps': 150, 'train_mean_token_accuracy': 0.9727272987365723}, type='metrics')

FineTuningJobEvent(id='ftevent-egAKijM3g6iwUsenzRrmEVKN', created_at=1738234362, level='info', message='Step 74/150: training loss=0.22', object='fine_tuning.job.event', data={'step': 74, 'train_loss': 0.21934212744235992, 'total_steps': 150, 'train_mean_token_accuracy': 0.9666666388511658}, type='metrics') 

FineTuningJobEvent(id='ftevent-5gHUHVrzshPdW5TV3FQMj07O', created_at=1738234357, level='info', message='Step 73/150: training loss=0.11', object='fine_tuning.job.event', data={'step': 73, 'train_loss': 0.10923841595649719, 'total_steps': 150, 'train_mean_token_accuracy': 0.9841269850730896}, type='metrics')

