FineTuningJobEvent(id='ftevent-3mTvaMZFE5HSEG5Hi60Tz59P', created_at=1740464317, level='info', message='Step 62/96: training loss=0.01', object='fine_tuning.job.event', data={'step': 62, 'train_loss': 0.008739853277802467, 'total_steps': 96, 'train_mean_token_accuracy': 0.9959999918937683}, type='metrics')

FineTuningJobEvent(id='ftevent-tQ5cpyw6Gaq9x0wKIn6oCuuG', created_at=1740464316, level='info', message='Step 61/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 61, 'train_loss': 0.00020893799955956638, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-Sf8ECWqJIJQAWEAeFWpVvjG1', created_at=1740464315, level='info', message='Step 60/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 60, 'train_loss': 0.0020908426959067583, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics') 

FineTuningJobEvent(id='ftevent-3eJJwufGqekfm7BknjR0FLr2', created_at=1740464315, level='info', message='Step 59/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 59, 'train_loss': 1.1505224392749369e-05, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-jYCCxCrXSMCb4DhtQjHSQXZk', created_at=1740464310, level='info', message='Step 58/96: training loss=0.02', object='fine_tuning.job.event', data={'step': 58, 'train_loss': 0.01660759560763836, 'total_steps': 96, 'train_mean_token_accuracy': 0.9934853315353394}, type='metrics')

FineTuningJobEvent(id='ftevent-fv0eWOwACq5K5oTabA092OLH', created_at=1740464310, level='info', message='Step 57/96: training loss=0.01', object='fine_tuning.job.event', data={'step': 57, 'train_loss': 0.011730832979083061, 'total_steps': 96, 'train_mean_token_accuracy': 0.9909502267837524}, type='metrics')

FineTuningJobEvent(id='ftevent-4xcqhNF0JMPvAnLsknnSfqoz', created_at=1740464310, level='info', message='Step 56/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 56, 'train_loss': 0.0047833845019340515, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-caXvIPfJqNDP2fAj1fJAm8Vw', created_at=1740464310, level='info', message='Step 55/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 55, 'train_loss': 0.00010101883526658639, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-UzJY5LsJS6zYATWnI2NoCczn', created_at=1740464308, level='info', message='Step 54/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 54, 'train_loss': 0.003716411767527461, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-reTWznTFfzcSWdL0Mqa2jOow', created_at=1740464303, level='info', message='Step 53/96: training loss=0.01', object='fine_tuning.job.event', data={'step': 53, 'train_loss': 0.011591301299631596, 'total_steps': 96, 'train_mean_token_accuracy': 0.9980217814445496}, type='metrics')

FineTuningJobEvent(id='ftevent-brhxM8fOjTllug8LDkl7DNXL', created_at=1740464303, level='info', message='Step 52/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 52, 'train_loss': 0.00314141483977437, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-Zv4FIClYo7AuUGABlne9cui4', created_at=1740464300, level='info', message='Step 51/96: training loss=0.01', object='fine_tuning.job.event', data={'step': 51, 'train_loss': 0.009390654042363167, 'total_steps': 96, 'train_mean_token_accuracy': 0.9971590638160706}, type='metrics')

FineTuningJobEvent(id='ftevent-bWG5Cn4Aety676S4vzZTFpI4', created_at=1740464299, level='info', message='Step 50/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 50, 'train_loss': 4.001740308012813e-05, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-zFcJINSmQLKegXqQU7bp8lxX', created_at=1740464293, level='info', message='Step 49/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 49, 'train_loss': 0.00019227027951274067, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-kgY0HazdK5Y6UXfzUHDcmPDn', created_at=1740464271, level='info', message='Step 48/96: training loss=0.01', object='fine_tuning.job.event', data={'step': 48, 'train_loss': 0.014593933708965778, 'total_steps': 96, 'train_mean_token_accuracy': 0.9939393997192383}, type='metrics')

FineTuningJobEvent(id='ftevent-fIORRHyekGOX6aYaEKg7eqhr', created_at=1740464264, level='info', message='Step 47/96: training loss=0.01', object='fine_tuning.job.event', data={'step': 47, 'train_loss': 0.007111836224794388, 'total_steps': 96, 'train_mean_token_accuracy': 0.9951456189155579}, type='metrics')

FineTuningJobEvent(id='ftevent-lLsoikBsxEgOHPaQFafJ3Xfz', created_at=1740464264, level='info', message='Step 46/96: training loss=0.01', object='fine_tuning.job.event', data={'step': 46, 'train_loss': 0.01446586474776268, 'total_steps': 96, 'train_mean_token_accuracy': 0.9955357313156128}, type='metrics')

FineTuningJobEvent(id='ftevent-6kg8J57BjgVGQpcN4xFYbI3G', created_at=1740464264, level='info', message='Step 45/96: training loss=0.03', object='fine_tuning.job.event', data={'step': 45, 'train_loss': 0.03252674266695976, 'total_steps': 96, 'train_mean_token_accuracy': 0.9922178983688354}, type='metrics')

FineTuningJobEvent(id='ftevent-DBHrHy0UGj7yWNeFj9bdmkKp', created_at=1740464259, level='info', message='Step 44/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 44, 'train_loss': 2.0968607714166865e-05, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-5mB9Rb9XMkY51sUZKKd5qVlR', created_at=1740464259, level='info', message='Step 43/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 43, 'train_loss': 0.0008731232956051826, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-fS5DjHmdCFA7FonBsKYy3PwT', created_at=1740464259, level='info', message='Step 42/96: training loss=0.01', object='fine_tuning.job.event', data={'step': 42, 'train_loss': 0.00991614256054163, 'total_steps': 96, 'train_mean_token_accuracy': 0.9952606558799744}, type='metrics')

FineTuningJobEvent(id='ftevent-nAYR2hf319YEq5XaYmOehAlM', created_at=1740464258, level='info', message='Step 41/96: training loss=0.03', object='fine_tuning.job.event', data={'step': 41, 'train_loss': 0.025686291977763176, 'total_steps': 96, 'train_mean_token_accuracy': 0.9925373196601868}, type='metrics')

FineTuningJobEvent(id='ftevent-7ciFnhKeTvPxd2IYXvDyqWFK', created_at=1740464252, level='info', message='Step 40/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 40, 'train_loss': 9.568737732479349e-05, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

