FineTuningJobEvent(id='ftevent-5ysW3XfZo3RsaUZHNSSDTk7q', created_at=1738494125, level='info', message='The job has successfully completed', object='fine_tuning.job.event', data={}, type='message') 
FineTuningJobEvent(id='ftevent-vIV9D2GSHrUf85T24dfen5qs', created_at=1738494043, level='info', message='Step 265/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 265, 'train_loss': 4.3490577809279785e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-oEfC2FBu3TTdH0RFFUBGIpC3', created_at=1738494043, level='info', message='Step 264/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 264, 'train_loss': 0.0009808901231735945, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics') 

FineTuningJobEvent(id='ftevent-AMoNrgFDA15OMF7mBSozUzZq', created_at=1738494041, level='info', message='Step 263/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 263, 'train_loss': 5.6471501011401415e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-GpwNbkGYcgPoPlEG5mMSLQCZ', created_at=1738494039, level='info', message='Step 262/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 262, 'train_loss': 0.0013070831773802638, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-38OobqGBBytgpfdeVeLk6SSV', created_at=1738494037, level='info', message='Step 261/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 261, 'train_loss': 0.0001767864596331492, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-zX4FRzgYGOHnIZdd3CAHBGq8', created_at=1738494035, level='info', message='Step 260/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 260, 'train_loss': 0.00030559964943677187, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-JnB9aGDewi9DlC9BrOFfhLWR', created_at=1738494035, level='info', message='Step 259/300: training loss=0.06', object='fine_tuning.job.event', data={'step': 259, 'train_loss': 0.06324715167284012, 'total_steps': 300, 'train_mean_token_accuracy': 0.9918699264526367}, type='metrics')

FineTuningJobEvent(id='ftevent-Z6Lofe1T6zdMMC0tAxWHHqSK', created_at=1738494033, level='info', message='Step 258/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 258, 'train_loss': 0.00022601542877964675, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-gZrH9lm3njMeFsEHukB5FXwm', created_at=1738494033, level='info', message='Step 257/300: training loss=0.01', object='fine_tuning.job.event', data={'step': 257, 'train_loss': 0.005544241052120924, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-q3873B4XiiUgADbDMgxLmlRj', created_at=1738494031, level='info', message='Step 256/300: training loss=0.03', object='fine_tuning.job.event', data={'step': 256, 'train_loss': 0.0275870393961668, 'total_steps': 300, 'train_mean_token_accuracy': 0.9930796027183533}, type='metrics')

FineTuningJobEvent(id='ftevent-Y2UlRymjZotid2AGE0YsmFQd', created_at=1738494029, level='info', message='Step 255/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 255, 'train_loss': 8.816015179036185e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-3ikwACS9W6laGT9YSEkpGkA6', created_at=1738494027, level='info', message='Step 254/300: training loss=0.04', object='fine_tuning.job.event', data={'step': 254, 'train_loss': 0.04302394390106201, 'total_steps': 300, 'train_mean_token_accuracy': 0.987500011920929}, type='metrics')

FineTuningJobEvent(id='ftevent-zDNcMuufc954K6D3sPVu2Dds', created_at=1738494025, level='info', message='Step 253/300: training loss=0.01', object='fine_tuning.job.event', data={'step': 253, 'train_loss': 0.01469430886209011, 'total_steps': 300, 'train_mean_token_accuracy': 0.9917355179786682}, type='metrics')

FineTuningJobEvent(id='ftevent-IgxY7GuIZZjtkBrXDs2pV1Sy', created_at=1738494025, level='info', message='Step 252/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 252, 'train_loss': 0.0029494808986783028, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-AnMLiC0QWf8yDQ22XXrgbleA', created_at=1738494023, level='info', message='Step 251/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 251, 'train_loss': 9.97601164272055e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-oowGlaZ94jXm5JQIGFqVaSSX', created_at=1738494021, level='info', message='Step 250/300: training loss=0.02', object='fine_tuning.job.event', data={'step': 250, 'train_loss': 0.015506958588957787, 'total_steps': 300, 'train_mean_token_accuracy': 0.995121955871582}, type='metrics')

FineTuningJobEvent(id='ftevent-jovLKYbaYDW5WmYNSd6qsjKs', created_at=1738494019, level='info', message='Step 249/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 249, 'train_loss': 1.531839370727539e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-vChHO938pYUkhEFJ0e38WCVd', created_at=1738494017, level='info', message='Step 248/300: training loss=0.05', object='fine_tuning.job.event', data={'step': 248, 'train_loss': 0.04593978822231293, 'total_steps': 300, 'train_mean_token_accuracy': 0.9933110475540161}, type='metrics')

FineTuningJobEvent(id='ftevent-5yBT4EpgLhnnvsA3FyKE92dN', created_at=1738494017, level='info', message='Step 247/300: training loss=0.01', object='fine_tuning.job.event', data={'step': 247, 'train_loss': 0.013947681523859501, 'total_steps': 300, 'train_mean_token_accuracy': 0.9943181872367859}, type='metrics')

FineTuningJobEvent(id='ftevent-DVDqAHCgPc5BSb06gL5wyoi5', created_at=1738494015, level='info', message='Step 246/300: training loss=0.07', object='fine_tuning.job.event', data={'step': 246, 'train_loss': 0.06733434647321701, 'total_steps': 300, 'train_mean_token_accuracy': 0.9885714054107666}, type='metrics')

FineTuningJobEvent(id='ftevent-TcdCnM0EwecjydYMpc6eRNdD', created_at=1738494013, level='info', message='Step 245/300: training loss=0.04', object='fine_tuning.job.event', data={'step': 245, 'train_loss': 0.036991335451602936, 'total_steps': 300, 'train_mean_token_accuracy': 0.9929078221321106}, type='metrics')

FineTuningJobEvent(id='ftevent-Ncb3zyDk0SYSqxxEZMNkkLF6', created_at=1738494010, level='info', message='Step 244/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 244, 'train_loss': 9.233301534550264e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics') 

FineTuningJobEvent(id='ftevent-UiGvbH5hqZOTmjifNKjIQ3aM', created_at=1738494010, level='info', message='Step 243/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 243, 'train_loss': 0.0009674542234279215, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

